83,22,83

1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,
1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,
1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,
1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,
1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,
1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,
1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,
1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,
1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,
1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,1?0,
